level	seq	type	sourceIndex	text
기초	11	phrasal	5	Mina and the bird went on to the next place. The first account said: Come off it now – she was only trying to help. Another message read: You need a holiday or you’ll wear yourself out. A second source added: Go over the figures carefully before you commit. One more note said: My parents and I don’t get on. The last account in the group read: I turned over in bed and groaned. Mina kept the messages in mind and went on with the bird.
기초	12	vocab	6	Mina saw a game in the room and joined it. Someone nearby said: “This game has simple rules.” The next message said: “The picture shows a small island.” A voice from the page added: “Their apartment has a small balcony.” Farther down, Mina found: “An artist draws flowers in the park.” Another clue read: “Earth moves around the sun.” The page continued: “We play a game together.” A small note said: “I dance to a song.” The next line said: “I sing a song.” One final message read: “The movie tells a funny story.” Mina read: “The party begins after school.” A note beside it said: “The cartoon tells a funny story.” The picture ended, but a red line was on the map. Mina went on.
기초	13	phrasal	6	At the next turn, Mina found people who had seen the blue mark. The first account said: A doctor was called in right away. Another message read: I was caught out by the bad weather. A second source added: Tom had to dig his car out of the snow. One more note said: This tie goes with your shirt. The last account in the group read: That noise keeps me from sleeping. The clues showed the way, so Mina and the bird went on.
기초	14	story	2	Mina opened the letter and read it. The bird had lost the family. A map of the city was in the letter, and Mina knew she had to help.
기초	15	vocab	7	The bird flew from the garden to the river. Farther down, Mina found: “A bird sings outside my window.” Another clue read: “A fish swims around the pond.” The page continued: “A black cat watches the bird.” A small note said: “The dog waits by the gate.” The next line said: “The flower opens in the morning.” One final message read: “I catch the ball.” Mina read: “My backpack is new.” A note beside it said: “The bridge is strong.” Another line read: “We made a healthy meal.” Someone nearby said: “My pillow is soft and clean.” The next message said: “Each animal needs food and water.” A voice from the page added: “We can see the mountain from town.” Farther down, Mina found: “The ocean looks blue from the beach.” Another clue read: “A bridge crosses the wide river.” Mina read the map and found the road.
기초	16	phrasal	7	The bird stopped, and Mina listened for the next clue. The first account said: Has the data been keyed in yet? Another message read: "Look out!" someone cried. A second source added: He made over the interior of his house. One more note said: You should play along with him for the time being. The last account in the group read: Mina played around with different layouts for the poster. Mina marked the place on the map and kept walking.
기초	17	vocab	8	At a tree, Mina found a new line on the map. A small note said: “A rainbow appears after the rain.” The next line said: “The sea looks calm today.” One final message read: “Our school is across the street.” Mina read: “The tree gives us cool shade.” A note beside it said: “Our class visits the zoo in autumn.” The bird was ready, and Mina took the map.
기초	18	phrasal	8	A little farther on, Mina and the bird came to a new place. The first account said: You can't put anything over on Tom. Another message read: I'm running for mayor. A second source added: The project ran into difficulty near the end. One more note said: Can I see Tom out? The last account in the group read: She slept it off. The bird went ahead, and Mina followed it down the road.
기초	19	vocab	9	The road went from the garden to the city, and Mina went on. Mina read: “The bus stops near our school.” A note beside it said: “Our car has four clean seats.” Another line read: “A river runs through the city.” Someone nearby said: “We tie the boat beside the dock.” The next message said: “Our country has many mountains.” A voice from the page added: “I carry the box.” Farther down, Mina found: “We care about our planet.” Another clue read: “I deliver the letter.” The page continued: “The teacher is busy now.” A small note said: “The child is hungry.” The next line said: “The road leads to the mountain.” One final message read: “We travel to the city by train.” Mina read: “I pack my bag for the trip.” A note beside it said: “We know the way back home.” Mina looked at the picture. The blue letter was there, and she made a new plan.
기초	20	phrasal	9	Mina and the bird went on to the next place. The first account said: You should stay back. Another message read: Squirrels store up food for the winter. A second source added: I took to reading. One more note said: I wrote to my uncle, who wrote back to me soon. The last account in the group read: He took his coat off and set to work. Mina kept the messages in mind and went on with the bird.
기초	21	vocab	10	At the station, Mina found a red line. Someone nearby said: “A round carpet covers the floor.” The picture ended, but a red line was on the map. Mina went on.
기초	22	phrasal	10	At the next turn, Mina found people who had seen the blue mark. The first account said: I ordered in pizza for dinner. Another message read: The music went on until the class ended. A second source added: Leo took up painting during the summer. One more note said: A simple solution came to me during lunch. The last account in the group read: They put in a new sink beside the window. The clues showed the way, so Mina and the bird went on.
기초	23	vocab	11	The market was busy, but Mina saw the bird. Farther down, Mina found: “She saves money in a small box.” Another clue read: “We buy fruit at the market.” The page continued: “Her office has a large desk.” A small note said: “We sing a song on his birthday.” The next line said: “The school closes for the holiday.” One final message read: “Good things happen every day.” Mina read: “The baker enjoys his job.” Mina read the map and found the road.
기초	24	phrasal	11	The bird stopped, and Mina listened for the next clue. The first account said: Put on your blue jacket before we leave. Another message read: A long spell of rainy weather set in. A second source added: We set out early for the science museum. One more note said: Mina went for the simpler design. The last account in the group read: I explained the rule twice before it finally went in. Mina marked the place on the map and kept walking.
기초	25	vocab	12	Mina sat with the bird, and it was ready to go. A small note said: “Exercise keeps the body strong.” The next line said: “A doctor works at the hospital.” One final message read: “The hospital is near the station.” Mina read: “She practices the piano every day.” A note beside it said: “I paint a picture.” Another line read: “I am tired today.” The bird was ready, and Mina took the map.
기초	26	story	3	At the garden, Mina met a boy with a baby in his arms. His grandfather had a dog, and his grandmother gave the family warm bread. A girl came from the old house with a blue hat in her hand. The girl knew the bird was in that house. Mina put the red ball in her bag, took the map, and ran to the road.
기초	27	phrasal	12	A little farther on, Mina and the bird came to a new place. The first account said: My alarm went off at seven this morning. Another message read: That hairstyle went out about ten years ago. A second source added: Mina went through every page of her notes. One more note said: I cannot get at the box behind the chair. The last account in the group read: We got back home before dinner. The bird went ahead, and Mina followed it down the road.
기초	28	vocab	13	A computer made a blue line on the map. Mina read: “The computer is on the desk.” A note beside it said: “We study plants in science class.” Mina looked at the picture. The blue letter was there, and she made a new plan.
기초	29	phrasal	13	Mina and the bird went on to the next place. The first account said: I got in from school at four. Another message read: We get off early on Fridays. A second source added: Get out of my house! One more note said: I'm now getting over that illness. The last account in the group read: Mina got through all her homework before dinner. Mina kept the messages in mind and went on with the bird.
기초	30	vocab	14	The family listened as Mina read the map. Someone nearby said: “The blanket is warm.” The picture ended, but a red line was on the map. Mina went on.
기초	31	phrasal	14	At the next turn, Mina found people who had seen the blue mark. The first account said: The ducks made for the pond at once. Another message read: What do you make of this unusual clue? A second source added: Can you make out what the speaker is saying? One more note said: I’ll take over from you for a moment. The last account in the group read: Which came about, he says, purely by accident. The clues showed the way, so Mina and the bird went on.
기초	32	vocab	15	The dark road made Mina afraid, but she held the map. Farther down, Mina found: “I am happy today.” Another clue read: “It was a sad story.” Mina read the map and found the road.
기초	33	phrasal	15	The bird stopped, and Mina listened for the next clue. The first account said: A wave of anger came over him. Another message read: The call came through just before lunch. A second source added: Our flight hasn’t come up yet. One more note said: Can you look after my cat this afternoon? The last account in the group read: Most people look back on their school days with fondness. Mina marked the place on the map and kept walking.
기초	34	vocab	16	A door in the picture opened, and Mina walked on the road. A small note said: “We throw the ball in the park.” The next line said: “This hat keeps my head warm.” One final message read: “The clock shows three.” Mina read: “The cup is full of warm milk.” A note beside it said: “We play outside all day.” Another line read: “She will call after school.” Someone nearby said: “Be happy today.” The next message said: “Come here, please.” A voice from the page added: “We need a big box.” Farther down, Mina found: “My shoes are black.” Another clue read: “He carries a blue bag.” The page continued: “The water is not cold.” A small note said: “I see a bright red ball.” The next line said: “Please close the green window.” The bird was ready, and Mina took the map.
기초	35	phrasal	16	A little farther on, Mina and the bird came to a new place. The first account said: Mina looked on while her friends arranged the display. Another message read: Look up the word in your dictionary. A second source added: We asked again, and Dad finally gave in. One more note said: Neither side is willing to back down. The last account in the group read: Cars were backed up for miles. The bird went ahead, and Mina followed it down the road.
기초	36	vocab	17	The map made a new picture, and Mina looked at it. Mina read: “I eat an egg for breakfast.” A note beside it said: “We put ice in the juice.” Another line read: “He holds the pencil in his hand.” Someone nearby said: “I keep the key in my pocket.” The next message said: “We can see the moon tonight.” A voice from the page added: “I do my homework.” Farther down, Mina found: “I find my key.” Another clue read: “I get a gift from my aunt.” The page continued: “The classroom is clean.” A small note said: “The water is cold.” The next line said: “The train is fast.” One final message read: “Your red cup is over there.” Mina read: “I know a song about spring.” A note beside it said: “You can sit beside me.” Mina looked at the picture. The blue letter was there, and she made a new plan.
기초	37	phrasal	17	Mina and the bird went on to the next place. The first account said: We worked out why the door would not close. Another message read: The picnic was put off until Saturday. A second source added: Keep on practicing the song each day. One more note said: Keep up the good work on your project. The last account in the group read: The hall had no seats left and turned us away. Mina kept the messages in mind and went on with the bird.
기초	38	vocab	18	The picture changed, and Mina walked with the bird. Someone nearby said: “The morning air feels cool.” The next message said: “Her name begins with the letter M.” A voice from the page added: “The stars are bright at night.” Farther down, Mina found: “We ride our bicycles in the park.” Another clue read: “My blue pen is on the desk.” The page continued: “I give Mom a flower.” A small note said: “I go home.” The next line said: “I have a book.” One final message read: “We had a good day.” Mina read: “The soup is hot.” A note beside it said: “A little mouse ran away.” Another line read: “My uncle says he can help.” Someone nearby said: “My sister says she feels ready.” The next message said: “The king wears a golden crown.” The picture ended, but a red line was on the map. Mina went on.
기초	39	story	4	Mina took the map, and the bird went with her. Their long walk began at the garden.
기초	40	phrasal	18	At the next turn, Mina found people who had seen the blue mark. The first account said: Leo turned the small fan on after lunch. Another message read: Mina turned up early for the art class. A second source added: All essays must be handed in by Tuesday. One more note said: A pencil mark shows up clearly on white paper. The last account in the group read: She loved the acting, but was always running away. The clues showed the way, so Mina and the bird went on.
기초	41	vocab	19	Mina found a new line in the map and made a plan. Farther down, Mina found: “He ties the lace on his shoe.” Another clue read: “My sister plays the piano.” The page continued: “I pour juice into a clean cup.” A small note said: “Clean air helps us breathe well.” The next line said: “Raise one arm above your head.” One final message read: “We help Dad.” Mina read: “I know your name.” A note beside it said: “I like music.” Another line read: “The road is long.” Someone nearby said: “The house is old.” The next message said: “The apple is red.” A voice from the page added: “It rests under the table.” Farther down, Mina found: “We share fruit after class.” Another clue read: “We visit our aunt on Sunday.” Mina read the map and found the road.
기초	42	phrasal	19	The bird stopped, and Mina listened for the next clue. The first account said: The teacher ran through the schedule with us. Another message read: The series runs to ten short episodes. A second source added: Let us move on to the next question. One more note said: Our family will move out at the end of May. The last account in the group read: I could not hold my excitement in any longer. Mina marked the place on the map and kept walking.
기초	43	vocab	20	A door in the picture opened, and Mina walked on the road. A small note said: “The banana is yellow and soft.” The next line said: “We walk along the beach at sunset.” One final message read: “My bicycle has a silver bell.” Mina read: “I fold the blanket on the bed.” A note beside it said: “My brother builds model planes.” Another line read: “We look outside.” Someone nearby said: “I make a cake.” The next message said: “I read a book.” A voice from the page added: “This pencil is short.” Farther down, Mina found: “The box is small.” Another clue read: “The boy is tall.” The page continued: “They play near the river.” A small note said: “Please tell us your name.” The next line said: “She carries a camera on the trip.” The bird was ready, and Mina took the map.
기초	44	phrasal	20	A little farther on, Mina and the bird came to a new place. The first account said: These four legs hold up the table. Another message read: Mina brought up the class trip during lunch. A second source added: Please write in the missing word below. One more note said: Dad booked us in at a quiet hotel for Friday. The last account in the group read: The extra paper ended up in the recycling box. The bird went ahead, and Mina followed it down the road.
기초	45	vocab	21	The map made a new picture, and Mina looked at it. Mina read: “The candle gives a soft light.” A note beside it said: “The cow eats grass in the field.” Another line read: “Daddy reads a story before bed.” Someone nearby said: “We saw sheep on the farm.” The next message said: “The fire keeps the room warm.” A voice from the page added: “We run fast.” Farther down, Mina found: “I see a bird.” Another clue read: “We sit together.” The page continued: “The snow is white.” A small note said: “The flower is yellow.” The next line said: “The puppy is young.” One final message read: “I wash the cup and plate.” Mina read: “The bag is old but clean.” A note beside it said: “He steps forward with one foot.” Mina looked at the picture. The blue letter was there, and she made a new plan.
기초	46	phrasal	21	Mina and the bird went on to the next place. The first account said: Her clear poster stood out in the busy hallway. Another message read: We need to cut down on paper waste. A second source added: Please do not cut in while Leo is speaking. One more note said: Our call was cut off during the storm. The last account in the group read: Carry on. You’re doing fine. Mina kept the messages in mind and went on with the bird.
기초	47	vocab	22	The picture changed, and Mina walked with the bird. Someone nearby said: “We water the garden every morning.” The next message said: “The guitar has six strings.” A voice from the page added: “Her hair is long and black.” Farther down, Mina found: “The island has a quiet beach.” Another clue read: “My jacket has two deep pockets.” The page continued: “Babies sleep.” A small note said: “I take my lunch to school.” The next line said: “We talk together.” One final message read: “She felt angry for a while.” Mina read: “She drew a beautiful picture.” A note beside it said: “The sun is bright today.” Another line read: “We can walk or take the bus.” Someone nearby said: “We walk to the library.” The next message said: “Ducks swim across the lake.” The picture ended, but a red line was on the map. Mina went on.
기초	48	phrasal	22	At the next turn, Mina found people who had seen the blue mark. The first account said: Our old printer broke down this morning. Another message read: The sun broke through the clouds after lunch. A second source added: Mina picked a bright scarf out from the basket. One more note said: We met after class to catch up. The last account in the group read: Mina ruled out the red design after comparing both. The clues showed the way, so Mina and the bird went on.
기초	49	vocab	23	Mina found a new line in the map and made a plan. Farther down, Mina found: “The table has a broken leg.” Another clue read: “We read quietly in the library.” The page continued: “We eat lunch together at noon.” A small note said: “He marks our school on the map.” The next line said: “The family shares a warm meal.” One final message read: “I walk to school.” Mina read: “I write a letter.” A note beside it said: “I ask a question.” Another line read: “She bought a brown bag.” Someone nearby said: “This pen is cheap.” The next message said: “It was a cloudy morning.” A voice from the page added: “The keys are in my pocket.” Farther down, Mina found: “We meet on a sunny day.” Another clue read: “Open your mouth and say ah.” Mina read the map and found the road.
기초	50	phrasal	23	The bird stopped, and Mina listened for the next clue. The first account said: We headed home as darkness closed in. Another message read: The vote went against him, by some distance. A second source added: We went around to Mina's house after lunch. One more note said: Some things inevitably go together. The last account in the group read: I can go without my phone for one afternoon. Mina marked the place on the map and kept walking.
기초	51	vocab	24	A door in the picture opened, and Mina walked on the road. A small note said: “The museum displays an old boat.” The next line said: “I put an orange in my bag.” One final message read: “The phone rings during dinner.” Mina read: “The rain taps on the window.” A note beside it said: “The airport has many busy gates.” Another line read: “I bring my bag.” Someone nearby said: “I buy an apple.” The next message said: “I call my mom.” A voice from the page added: “The room is dark.” Farther down, Mina found: “My shoes are dirty.” Another clue read: “We made an early start.” The page continued: “Dad waits at the station.” A small note said: “This small gift is for you.” The next line said: “A child holds the balloon by a string.” The bird was ready, and Mina took the map.
기초	52	story	5	The road grew dark. The bird began to cry, but Mina did not end the walk. She read the letter and found a new road.
기초	53	phrasal	24	A little farther on, Mina and the bird came to a new place. The first account said: Mina got every new word down on paper. Another message read: He said they could earn money if they got together. A second source added: I took the shirt back because it was too large. One more note said: We took down the tent after breakfast. The last account in the group read: Mina came along with us for the afternoon walk. The bird went ahead, and Mina followed it down the road.
기초	54	vocab	25	The map made a new picture, and Mina looked at it. Mina read: “My mother visits the bank after work.” A note beside it said: “The basket is full of red apples.” Another line read: “The school bell rings at nine.” Someone nearby said: “The bottle holds fresh water.” The next message said: “The box holds toys and games.” A voice from the page added: “I close the door.” Farther down, Mina found: “I cook rice.” Another clue read: “I cut the cake.” The page continued: “The cup is empty.” A small note said: “The bottle is full of water.” The next line said: “That story is funny.” One final message read: “She walks with our dog.” Mina read: “A letter came from my aunt.” A note beside it said: “We walk over the bridge to town.” Mina looked at the picture. The blue letter was there, and she made a new plan.
기초	55	phrasal	25	Mina and the bird went on to the next place. The first account said: Volunteers gave the maps out near the entrance. Another message read: I promised to help and I’m not backing out now. A second source added: Mina called out my name from across the playground. One more note said: Mina let us in when we reached the classroom. The last account in the group read: Then he was let into the secret. Mina kept the messages in mind and went on with the bird.
기초	56	vocab	26	The picture changed, and Mina walked with the bird. Someone nearby said: “We climb the tower by the old stairs.” The next message said: “I spread butter on my toast.” A voice from the page added: “The calendar shows every month.” Farther down, Mina found: “The captain guides the boat safely.” Another clue read: “A queen lives in the old castle.” The page continued: “I drive a car.” A small note said: “I finish my work.” The next line said: “Birds fly high.” One final message read: “This bag is heavy.” Mina read: “Our teacher is kind.” A note beside it said: “This bag is light.” Another line read: “A cup of milk is ready.” Someone nearby said: “She works as our team captain.” The next message said: “We meet at the center of the park.” The picture ended, but a red line was on the map. Mina went on.
기초	57	phrasal	26	At the next turn, Mina found people who had seen the blue mark. The first account said: Mina turned down the offer to lead the group. Another message read: She started on her homework after a short break. A second source added: We hand down our storybooks to younger cousins. One more note said: The class sometimes plays up before lunch. The last account in the group read: Rainwater runs off the roof into a barrel. The clues showed the way, so Mina and the bird went on.
기초	58	vocab	27	Mina found a new line in the map and made a plan. Farther down, Mina found: “The church has a tall bell tower.” Another clue read: “The children sit in a circle.” The page continued: “She hangs her coat by the door.” A small note said: “The college has a large library.” The next line said: “Turn left at the next corner.” One final message read: “We grow vegetables.” Mina read: “I hear a song.” A note beside it said: “I hold your hand.” Another line read: “The music is loud.” Someone nearby said: “The library is quiet.” The next message said: “Dinner is ready now.” A voice from the page added: “My shoes are by the door.” Farther down, Mina found: “Your coat is on this chair.” Another clue read: “Dinner is ready at six.” Mina read the map and found the road.
기초	59	phrasal	27	The bird stopped, and Mina listened for the next clue. The first account said: Mina held out the map for me to take. Another message read: We held the final discussion over until Monday. A second source added: The editor watered down the strongest sentence. One more note said: She refused to write the new idea off too soon. The last account in the group read: You should just sit back and enjoy it. Mina marked the place on the map and kept walking.
기초	60	vocab	28	A door in the picture opened, and Mina walked on the road. A small note said: “Her dream is to become a pilot.” The next line said: “The engine makes the car move.” One final message read: “A small turtle rests on the rock.” Mina read: “I put one cookie on the plate.” A note beside it said: “The factory makes bicycles.” Another line read: “I listen to music.” Someone nearby said: “I live with my family.” The next message said: “I meet my friend.” A voice from the page added: “The family is rich.” Farther down, Mina found: “The table is round.” Another clue read: “The turtle is slow.” The page continued: “Leo puts his hat away.” A small note said: “Mina opens her lunch box.” The next line said: “Cows eat grass in the field.” The bird was ready, and Mina took the map.
기초	61	phrasal	28	A little farther on, Mina and the bird came to a new place. The first account said: Mina sat the final practice out this morning. Another message read: Your daily practice will pay off soon. A second source added: With practice, Mina grew into a confident speaker. One more note said: That unusual color is starting to grow on Leo. The last account in the group read: Ben nearly walked into the open cupboard door. The bird went ahead, and Mina followed it down the road.
기초	62	vocab	29	The map made a new picture, and Mina looked at it. Mina read: “The ball rolls across the floor.” A note beside it said: “Tall trees fill the forest.” Another line read: “She wraps the gift in blue paper.” Someone nearby said: “The glass holds cold water.” The next message said: “The rain makes the ground wet.” A voice from the page added: “I open the door.” Farther down, Mina found: “I pay for the cake.” Another clue read: “We put on our jackets.” The page continued: “The pillow is soft.” A small note said: “It is a sunny day.” The next line said: “The child is thirsty.” One final message read: “We clean our table together.” Mina read: “Their house is near the park.” A note beside it said: “We offer each guest a warm meal.” Mina looked at the picture. The blue letter was there, and she made a new plan.
기초	63	phrasal	29	Mina and the bird went on to the next place. The first account said: Nora waits on customers at the family cafe. Another message read: The tickets had sold out within a few short hours. A second source added: The team carried the recycling plan through. One more note said: We waved as the little bus drove off. The last account in the group read: Our group broke into song during the walk. Mina kept the messages in mind and went on with the bird.
기초	64	story	6	At night, the map ended at a closed door. Mina heard a bird cry in the house. She took the key from the letter and opened the door.
기초	65	vocab	30	The picture changed, and Mina walked with the bird. Someone nearby said: “The hotel has a quiet garden.” The next message said: “I read for an hour after lunch.” A voice from the page added: “I bend my knee before I jump.” Farther down, Mina found: “An adult uses the knife to cut bread.” Another clue read: “English is a language we study.” The page continued: “I swim in the pool.” A small note said: “We arrive at the airport early.” The next line said: “We begin our work together.” One final message read: “My socks are wet.” Mina read: “The child is afraid of the dark.” A note beside it said: “The fish is still alive.” Another line read: “This apple tastes sweet.” Someone nearby said: “I remember that happy day.” The next message said: “The students wait in a quiet line.” The picture ended, but a red line was on the map. Mina went on.
기초	66	phrasal	30	At the next turn, Mina found people who had seen the blue mark. The first account said: Each child broke off a piece of bread. Another message read: Some classmates picked on Leo for his unusual backpack. A second source added: Leo phoned in a message before his work shift. One more note said: Sam caught on after the second example. The last account in the group read: The teacher stepped out for a minute. The clues showed the way, so Mina and the bird went on.
기초	67	vocab	31	Mina found a new line in the map and made a plan. Farther down, Mina found: “The song ends in a minute.” Another clue read: “I can see my face in the mirror.” The page continued: “Our neighbor has a friendly dog.” A small note said: “A kind nurse checks my arm.” The next line said: “The picture fills the whole page.” One final message read: “We borrow a map.” Mina read: “I change my coat.” A note beside it said: “I choose a red balloon.” Another line read: “The children are bored indoors.” Someone nearby said: “The firefighter was very brave.” The next message said: “The child stayed calm.” A voice from the page added: “I draw a circle on the paper.” Farther down, Mina found: “Each passenger needs a ticket.” Another clue read: “I draw a tree with my pencil.” Mina read the map and found the road.
기초	68	phrasal	31	The bird stopped, and Mina listened for the next clue. The first account said: She paused to draw in a slow breath. Another message read: A simple question helped draw Mina out. A second source added: She quickly threw her heavy scarf off indoors. One more note said: The survey threw up two useful ideas. The last account in the group read: Every visitor must sign in at the front desk. Mina marked the place on the map and kept walking.
기초	69	vocab	32	A door in the picture opened, and Mina walked on the road. A small note said: “The pilot guides the plane safely.” The next line said: “We see a plane near the airport.” One final message read: “The plant needs water and light.” Mina read: “The plate holds bread and fruit.” A note beside it said: “The key is inside my pocket.” Another line read: “I climb the small hill.” Someone nearby said: “We collect the books.” The next message said: “I count the apples.” A voice from the page added: “The lake water is clear.” Farther down, Mina found: “A clever fox opened the gate.” Another clue read: “The evening air is cool.” The page continued: “The pool is open after school.” A small note said: “We add a potato to the soup.” The next line said: “This present is for my sister.” The bird was ready, and Mina took the map.
기초	70	phrasal	32	A little farther on, Mina and the bird came to a new place. The first account said: She always signs off with a cheerful message. Another message read: Ben apologized for answering back to his teacher. A second source added: Mina missed out on the last seat in the workshop. One more note said: She fished a blue pencil out of her bag. The last account in the group read: I read a quiet story to wind down before bed. The bird went ahead, and Mina followed it down the road.
기초	71	vocab	33	The map made a new picture, and Mina looked at it. Mina read: “Her drawing won first prize.” A note beside it said: “A kind queen helps her people.” Another line read: “The rabbit eats a fresh carrot.” Someone nearby said: “The radio plays music in the kitchen.” The next message said: “The restaurant serves warm soup.” A voice from the page added: “Clouds cover the moon.” Farther down, Mina found: “I cross the bridge carefully.” Another clue read: “I cry when I feel sad.” The page continued: “A dangerous animal lives there.” A small note said: “The river is deep here.” The next line said: “This question is difficult.” One final message read: “Rain falls on the roof.” Mina read: “I drop my pen.” A note beside it said: “This rule keeps the game fair.” Mina looked at the picture. The blue letter was there, and she made a new plan.
기초	72	phrasal	33	Mina and the bird went on to the next place. The first account said: We wound up the meeting with a short quiz. Another message read: The little shop managed to ride out a slow month. A second source added: We shopped around before choosing a new lamp. One more note said: Mina cried out, "Look at the rainbow!" The last account in the group read: Can you help me blow this beach ball up? Mina kept the messages in mind and went on with the bird.
기초	73	vocab	34	The picture changed, and Mina walked with the bird. Someone nearby said: “Please pass the salt at dinner.” The next message said: “I pack a sandwich for lunch.” A voice from the page added: “We put each seed in the ground.” Farther down, Mina found: “A white sheep stands by the fence.” Another clue read: “This shirt has blue buttons.” The page continued: “We enjoy the music.” A small note said: “Leaves fall from the tree.” The next line said: “I fill the cup with water.” One final message read: “The towel is dry now.” Mina read: “She read an easy book.” A note beside it said: “The excited child smiled.” Another line read: “I fix the broken toy.” Someone nearby said: “We follow the map.” The next message said: “We do not forget the key.” The picture ended, but a red line was on the map. Mina went on.
기초	74	phrasal	34	At the next turn, Mina found people who had seen the blue mark. The first account said: They had dressed up as princes and princesses. Another message read: We cleaned out the art cupboard on Friday. A second source added: Leave the wet clay outside to dry out. One more note said: The stream dried up after many sunny weeks. The last account in the group read: People rang in the new year with cheerful bells. The clues showed the way, so Mina and the bird went on.
기초	75	vocab	35	Mina found a new line in the map and made a plan. Farther down, Mina found: “The shop sells books and paper.” Another clue read: “The sky is clear and blue.” The page continued: “The soap makes my hands clean.” A small note said: “This sock has a small hole.” The next line said: “She eats soup with a spoon.” One final message read: “I join the game.” Mina read: “We leave the park at night.” A note beside it said: “We lend a hand to Dad.” Another line read: “The new rule is fair.” Someone nearby said: “The singer is famous.” The next message said: “The bird is free again.” A voice from the page added: “I lose my hat.” Farther down, Mina found: “I fold the paper.” Another clue read: “We draw a star on the card.” Mina read the map and found the road.
기초	76	phrasal	35	The bird stopped, and Mina listened for the next clue. The first account said: The room heater kicked in after a short delay. Another message read: The staff kicked everyone out when the museum closed. A second source added: Permanent dyes won’t wash out. One more note said: We always wash up together after dinner. The last account in the group read: I penciled our museum visit in for the morning. Mina marked the place on the map and kept walking.
기초	77	story	7	The family saw the bird and ran to it. The bird was happy, and Mina gave it the red ball.
